bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(976.208, 980.909]",979.370953097791,980.2986054044308,3,"(('zscore_filter_3', 'age'), ('bin_equal_frequency_10', 'age'), ('isolationForest', 'age'))",46
"(980.909, 985.609]",980.9571507943779,985.5506687104368,4,"(('zscore_clip_3', 'age'), ('norm_log', 'age'), ('bin_equal_width_2', 'age'), ('isolationForest', 'age'))",18
"(985.609, 990.31]",985.6201623024444,989.5831430088936,4,"(('bin_equal_width_2', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",34
"(990.31, 995.011]",990.7711328095518,995.0072415058344,4,"(('bin_equal_frequency_2', 'age'), ('norm_log', 'education'), ('bin_equal_width_2', 'education'), ('isolationForest', 'age'))",34
"(995.011, 999.712]",995.5663594756859,998.8223650502995,4,"(('bin_equal_frequency_5', 'age'), ('IQR', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",16
"(999.712, 1004.413]",1000.680046662348,1004.3957676817439,5,"(('bin_equal_frequency_10', 'age'), ('norm_log', 'education'), ('zscore_filter_3', 'education'), ('bin_equal_width_2', 'education'), ('isolationForest', 'age'))",7
"(1004.413, 1009.114]",1004.8701462059114,1008.9319832091721,5,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'age'), ('winsorize', 'education'), ('zscore_clip_3', 'education'), ('isolationForest', 'age'))",10
"(1009.114, 1013.815]",1009.8193421842808,1013.5855386594633,4,"(('bin_equal_frequency_10', 'age'), ('winsorize', 'education'), ('zscore_clip_3', 'education'), ('isolationForest', 'age'))",27
"(1013.815, 1018.516]",1014.454646220439,1017.8792796141882,5,"(('bin_equal_width_2', 'age'), ('norm_log', 'education'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",8
"(1018.516, 1023.217]",1018.9110990905411,1022.4456555528529,4,"(('bin_equal_frequency_5', 'age'), ('bin_equal_width_10', 'education'), ('zscore_clip_3', 'education'), ('isolationForest', 'age'))",27
"(1023.217, 1027.917]",1023.4508973754639,1027.553602489102,4,"(('bin_equal_frequency_10', 'age'), ('winsorize', 'education'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'))",22
"(1027.917, 1032.618]",1027.9272534413324,1032.3002371289272,3,"(('bin_equal_frequency_10', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",54
"(1032.618, 1037.319]",1032.9196751057023,1037.1712384719503,4,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'age'), ('winsorize', 'education'), ('isolationForest', 'age'))",33
"(1037.319, 1042.02]",1037.3439891889068,1041.5578871924843,3,"(('zscore_clip_3', 'age'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'age'))",59
"(1042.02, 1046.721]",1042.1049217741672,1046.30601361905,4,"(('bin_equal_frequency_10', 'age'), ('bin_equal_width_10', 'education'), ('norm_log', 'education'), ('isolationForest', 'age'))",43
"(1046.721, 1051.422]",1046.7324751234034,1051.2785142013886,4,"(('bin_equal_frequency_5', 'age'), ('winsorize', 'education'), ('bin_equal_width_5', 'education'), ('isolationForest', 'age'))",45
"(1051.422, 1056.123]",1051.645467634471,1056.0800131888545,3,"(('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",62
"(1056.123, 1060.824]",1056.3416893516505,1060.7892529301141,3,"(('bin_equal_frequency_5', 'age'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'))",121
"(1060.824, 1065.524]",1060.8998282720595,1065.4678025766927,3,"(('zscore_clip_3', 'age'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'))",163
"(1065.524, 1070.225]",1065.5752969249731,1070.1717269973717,4,"(('bin_equal_frequency_5', 'age'), ('zscore_filter_3', 'education'), ('isolationForest', 'age'), ('bin_equal_frequency_2', 'education'))",92
"(1070.225, 1074.926]",1070.7800309966397,1074.745138573636,4,"(('norm_log', 'age'), ('zscore_filter_3', 'age'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'age'))",65
"(1074.926, 1079.627]",1075.3186706646316,1079.5815541697157,4,"(('bin_equal_frequency_5', 'age'), ('bin_equal_width_10', 'education'), ('zscore_filter_3', 'education'), ('isolationForest', 'age'))",56
"(1079.627, 1084.328]",1079.7618428180194,1084.2865528700606,3,"(('bin_equal_width_2', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",46
"(1084.328, 1089.029]",1084.8103816519124,1088.8633132340617,4,"(('norm_log', 'age'), ('bin_equal_width_10', 'age'), ('zscore_filter_3', 'education'), ('isolationForest', 'age'))",59
"(1089.029, 1093.73]",1089.1838881658036,1093.4696371996022,3,"(('bin_equal_frequency_10', 'age'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'))",93
"(1093.73, 1098.431]",1094.0060359215804,1098.3791954781632,4,"(('bin_equal_frequency_10', 'age'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'), ('norm_log', 'education'))",64
"(1098.431, 1103.131]",1098.5393077978429,1102.978274927404,3,"(('bin_equal_frequency_5', 'age'), ('zscore_filter_3', 'education'), ('isolationForest', 'age'))",179
"(1103.131, 1107.832]",1103.3584498499158,1107.56177027105,3,"(('zscore_filter_3', 'education'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'age'))",113
