bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(29157.907, 29329.248]",29162.117318579578,29307.077801564243,3,"(('bin_equal_frequency_2', 'sqft_above'), ('bin_equal_frequency_2', 'sqft_lot15'), ('isolationForest', 'TABLE'))",10
"(29329.248, 29500.588]",29338.196964049712,29493.944980421104,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_10', 'yr_built'))",6
"(29500.588, 29671.929]",29508.083244576934,29663.73048519087,3,"(('bin_equal_frequency_2', 'sqft_lot'), ('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",10
"(29671.929, 29843.27]",29675.873787371558,29822.79387815518,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",17
"(29843.27, 30014.611]",29852.110549685196,29990.132946838043,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'), ('zscore_clip_3', 'view'))",8
"(30014.611, 30185.952]",30025.944092527498,30179.64300570509,3,"(('bin_equal_frequency_2', 'sqft_living15'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_living'))",12
"(30185.952, 30357.293]",30187.75972664461,30357.07341163361,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_living'), ('zscore_clip_3', 'grade'))",12
"(30357.293, 30528.634]",30366.162647982128,30523.939219827764,3,"(('bin_equal_frequency_2', 'sqft_lot'), ('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",18
"(30528.634, 30699.975]",30536.549704712583,30659.683903251775,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",11
"(30699.975, 30871.316]",30705.054818378878,30869.484472553246,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_10', 'sqft_lot'))",20
"(30871.316, 31042.657]",30884.514283576515,31038.367337205913,2,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'))",42
"(31042.657, 31213.997]",31044.72470219154,31199.97280517593,3,"(('bin_equal_frequency_2', 'bedrooms'), ('isolationForest', 'TABLE'), ('bin_equal_width_5', 'grade'))",19
"(31213.997, 31385.338]",31214.01902102295,31378.410763619933,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_2', 'yr_built'), ('isolationForest', 'TABLE'))",17
"(31385.338, 31556.679]",31386.69977533247,31555.452718991553,3,"(('bin_equal_frequency_2', 'bathrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'))",17
"(31556.679, 31728.02]",31559.071461508633,31723.41448677238,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_5', 'yr_built'))",25
"(31728.02, 31899.361]",31747.3354966981,31898.856515498715,3,"(('bin_equal_frequency_2', 'grade'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_living'))",19
